YEAR,BRAND,MODEL,KMs_DRIVEN,FUEL_TYPE,OWNER,PRICE,CITY,MONTHLY_EMI
2019,Tata,TIGOR,"20,104",Diesel,2nd,"5,97,000₹6,37,000",,"11,671"
2023,Tata,ALTROZ,"3,036",Petrol,1st,"9,95,000₹10,48,000",,"18,939"
2021,Tata,ALTROZ,"40,923",Diesel,1st,"8,07,000₹9,39,000",Mumbai,"15,361"
2017,Tata,TIGOR,"72,258",Petrol,1st,"4,83,000₹4,92,000",,"9,443"
2018,Tata,TIGOR,"37,241",Petrol,1st,"5,36,000₹5,85,000",Mumbai,"10,479"
2018,Tata,Tiago,"23,658",Petrol,1st,"5,03,000₹5,32,000",,"9,834"
2021,Tata,Tiago,"6,835",Petrol,1st,"7,45,000₹7,76,000",,"14,565"
2021,Tata,NEXON,"17,657",Petrol,1st,"9,41,000₹10,08,000",Mumbai,"17,911"
2021,Tata,TIGOR,"33,712",Petrol,1st,"6,62,000₹7,46,000",,"12,942"
2020,Tata,Tiago,"45,364",Petrol,1st,"5,40,200₹5,90,000",Mumbai,"10,561"
2019,Renault,Kwid,"67,987",Petrol,1st,"3,46,000₹3,66,000",Mumbai,"6,764"
2019,Renault,TRIBER,"11,582",Petrol,1st,"5,98,000₹6,46,000",Mumbai,"11,691"
2017,Renault,Kwid,"47,446",Petrol,1st,"3,17,000₹3,26,000",Mumbai,"6,197"
2020,Renault,TRIBER,"4,334",Petrol,1st,"6,54,000₹6,60,000",,"12,786"
2020,Renault,Kwid,"19,481",Petrol,2nd,"4,86,000₹5,00,000",,"9,501"
2019,Renault,Duster,"31,372",Petrol,2nd,"8,18,000₹8,48,000",,"15,570"
2019,Renault,TRIBER,"19,719",Petrol,1st,"6,79,000₹7,26,000",Mumbai,"13,275"
2021,Renault,Kwid,"7,779",Petrol,1st,"4,86,000₹5,05,000",Mumbai,"9,501"
2019,Renault,TRIBER,"21,263",Petrol,2nd,"6,65,700₹7,20,000",Mumbai,"13,015"
2021,Renault,TRIBER,"9,066",Petrol,2nd,"6,18,000₹6,82,000",,"12,082"
2019,Renault,Duster,"89,415",Diesel,2nd,"8,63,000₹9,17,000",Mumbai,"16,426"
2019,Renault,Duster,"51,146",Diesel,1st,"8,76,000₹9,13,000",Mumbai,"16,674"
2021,Renault,Kwid,"19,422",Petrol,1st,"5,16,000₹5,57,000",Mumbai,"10,088"
2020,Renault,Kwid,"31,150",Petrol,1st,"5,11,000₹5,47,000",Mumbai,"9,990"
2020,Renault,Kwid,"5,308",Petrol,1st,"5,58,000₹5,64,000",Mumbai,"10,909"
2020,Renault,Kwid,"13,865",Petrol,1st,"5,18,000₹5,49,000",Mumbai,"10,127"
2021,Renault,TRIBER,"10,795",Petrol,1st,"7,71,000₹8,63,000",Mumbai,"15,073"
2012,Renault,Duster,"1,15,074",Diesel,2nd,"4,29,000",,"8,387"
2020,Renault,Kwid,"17,652",Petrol,1st,"4,30,000",,"8,407"
2017,Maruti,Baleno,"14,566",Petrol,2nd,"5,02,000₹5,61,000",New Delhi,"9,814"
2017,Maruti,Swift,"6,746",Petrol,1st,"4,64,000₹4,70,000",New Delhi,"9,071"
2016,Maruti,Baleno,"86,080",Petrol,1st,"5,46,000",New Delhi,"10,674"
2017,Maruti,Swift Dzire,"90,831",Diesel,1st,"5,46,000₹5,91,000",,"10,674"
2018,Maruti,Ertiga,"83,567",Diesel,2nd,"7,12,000₹7,70,000",,"13,920"
2019,Maruti,Ciaz,"44,180",Petrol,1st,"7,43,000₹8,36,000",New Delhi,"14,526"
2019,Maruti,Baleno,"32,346",Petrol,1st,"5,13,000₹5,74,000",,"10,029"
2017,Maruti,Baleno,"25,403",Petrol,2nd,"5,22,800₹5,69,000",New Delhi,"10,221"
2015,Maruti,Swift,"80,025",Petrol,2nd,"3,65,000₹3,98,000",,"7,136"
2017,Maruti,Baleno,"15,861",Petrol,1st,"4,88,000₹5,52,000",,"9,540"
2018,Maruti,IGNIS,"49,158",Petrol,2nd,"4,45,000₹4,96,000",,"8,700"
2017,Maruti,IGNIS,"9,665",Petrol,1st,"4,75,000₹5,46,000",,"9,286"
2017,Maruti,Baleno,"71,575",Petrol,1st,"4,67,000₹5,19,000",,"9,130"
2017,Maruti,Swift,"37,368",Petrol,1st,"4,64,000₹5,13,000",New Delhi,"9,071"
2020,Maruti,Baleno,"59,549",Petrol,1st,"6,08,000₹6,38,000",,"11,887"
2018,Maruti,Swift,"99,078",CNG,1st,"5,19,000₹5,66,000",New Delhi,"10,147"
2020,Maruti,Baleno,"60,932",CNG,1st,"6,02,000₹6,53,000",,"11,769"
2020,Maruti,Swift,"44,817",Petrol,2nd,"5,42,000",New Delhi,"10,596"
2020,Maruti,Baleno,"23,256",Petrol,1st,"6,34,000₹6,42,000",,"12,395"
2018,Maruti,Baleno,"17,328",Petrol,2nd,"5,83,000₹6,78,000",New Delhi,"11,398"
2016,Honda,Brio,"59,609",Petrol,1st,"3,06,000₹3,21,000",,"5,982"
2015,Honda,Brio,"20,553",Petrol,1st,"3,13,000₹3,41,000",New Delhi,"6,119"
2018,Honda,City,"35,722",Petrol,1st,"7,70,000₹8,65,000",,"15,054"
2019,Honda,WR-V,"68,714",Petrol,1st,"6,30,000₹7,25,000",,"12,317"
2019,Honda,City,"23,277",Petrol,2nd,"8,79,000₹9,34,000",,"16,731"
2018,Honda,Amaze,"51,809",Petrol,2nd,"4,76,000₹5,62,000",,"9,306"
2014,Honda,City,"1,00,943",Petrol,2nd,"4,30,000₹4,56,000",,"8,407"
2018,Honda,Amaze,"32,463",Petrol,2nd,"4,50,000₹5,18,000",,"8,798"
2013,Honda,CRV,"74,125",Petrol,2nd,"7,55,000₹7,93,000",New Delhi,"14,760"
2018,Honda,City,"52,370",Petrol,1st,"8,24,000₹9,66,000",New Delhi,"15,684"
2019,Honda,Amaze,"39,485",Petrol,1st,"6,64,000₹7,33,000",,"12,981"
2017,Honda,Amaze,"45,853",Petrol,1st,"4,80,000₹4,98,000",New Delhi,"9,384"
2019,Honda,City,"31,873",Petrol,1st,"8,74,000₹9,09,000",,"16,636"
2018,Honda,Amaze,"55,763",Petrol,1st,"5,46,000₹6,59,000",,"10,674"
2017,Honda,Amaze,"97,677",Petrol,2nd,"3,73,000₹4,34,000",New Delhi,"7,292"
2016,Honda,Amaze,"46,427",Petrol,1st,"4,24,000₹5,11,000",New Delhi,"8,289"
2020,Honda,Amaze,"36,305",Petrol,2nd,"5,84,000₹6,58,000",New Delhi,"11,417"
2011,Honda,City,"41,512",Petrol,1st,"2,84,000₹2,97,000",New Delhi,"5,552"
2014,Honda,City,"70,307",Petrol,2nd,"4,58,000₹5,13,000",,"8,954"
2018,Honda,Amaze,"97,935",CNG,2nd,"5,63,000₹5,69,000",,"11,007"
2019,Hyundai,Verna,"14,598",Petrol,2nd,"10,06,200₹10,68,000",,"19,152"
2020,Hyundai,Elite i20,"74,892",CNG,1st,"5,98,000₹6,04,000",,"11,691"
2018,Hyundai,Grand i10,"50,010",Petrol,1st,"4,62,000₹4,94,000",New Delhi,"9,032"
2021,Hyundai,Verna,"49,930",Diesel,1st,"10,92,000₹11,46,000",,"20,785"
2018,Hyundai,Elite i20,"40,826",Petrol,2nd,"5,33,000₹5,66,000",New Delhi,"10,420"
2015,Hyundai,Eon,"51,597",Petrol,1st,"2,23,000",,"4,360"
2017,Hyundai,Elite i20,"55,856",Petrol,2nd,"5,14,000₹5,79,000",,"10,049"
2011,Hyundai,Santro Xing,"58,503",Petrol,1st,"1,44,000₹1,49,000",,"2,815"
2012,Hyundai,i10,"1,10,229",CNG,3rd,"1,80,000",,"3,519"
2012,Hyundai,i10,"51,210",Petrol,1st,"1,88,000₹1,94,000",New Delhi,"3,675"
2020,Hyundai,Verna,"23,961",Petrol,1st,"12,21,000₹13,38,000",,"23,241"
2021,Hyundai,VENUE,"14,445",Petrol,2nd,"8,53,000₹9,00,000",,"16,236"
2016,Hyundai,Creta,"1,15,873",Petrol,2nd,"6,76,000₹7,10,000",New Delhi,"13,216"
2017,Hyundai,Elite i20,"63,817",Petrol,1st,"5,05,000₹5,63,000",New Delhi,"9,873"
2014,Hyundai,Santro Xing,"55,620",Petrol,1st,"2,54,000₹2,74,000",New Delhi,"4,966"
2019,Hyundai,NEW SANTRO,"58,339",CNG,1st,"4,54,000₹5,14,000",,"8,876"
2015,Hyundai,Elite i20,"59,987",Petrol,2nd,"4,53,000₹5,67,000",New Delhi,"8,856"
2017,Hyundai,Grand i10,"57,438",Petrol,2nd,"4,30,000₹5,28,000",New Delhi,"8,407"
2012,Hyundai,Verna,"62,891",Petrol,1st,"3,78,000₹3,85,000",New Delhi,"7,390"
2017,Hyundai,Verna,"37,210",Petrol,1st,"8,70,000₹9,12,000",New Delhi,"16,560"
2021,Tata,Tiago,"19,811",Petrol,1st,"5,16,000₹5,40,000",,"10,088"
2020,Tata,NEXON,"23,358",Petrol,1st,"6,70,000₹6,89,000",,"13,099"
2019,Tata,NEXON,"49,044",Petrol,2nd,"7,58,000₹9,53,000",,"14,819"
2018,Tata,TIGOR,"57,116",Petrol,1st,"5,18,000₹5,32,000",,"10,127"
2019,Tata,Harrier,"31,652",Diesel,1st,"13,05,000₹14,14,000",,"24,839"
2021,Tata,Tiago,"13,447",Petrol,2nd,"5,22,000₹5,52,000",,"10,205"
2021,Tata,Tiago,"16,074",Petrol,1st,"5,40,000₹6,03,000",New Delhi,"10,557"
2019,Tata,Harrier,"44,063",Diesel,1st,"12,99,800₹13,85,000",,"24,740"
2021,Tata,PUNCH,"15,142",Petrol,1st,"7,91,000₹8,43,000",,"15,464"
2020,Tata,NEXON,"61,698",Petrol,2nd,"7,40,000₹7,61,000",New Delhi,"14,467"
2017,Tata,Tiago,"31,975",Petrol,1st,"4,98,000₹5,14,000",New Delhi,"9,736"
2018,Tata,Tiago,"33,709",Petrol,2nd,"3,99,000₹4,27,000",,"7,801"
2021,Tata,Tiago,"24,685",Petrol,1st,"5,26,000₹5,57,000",New Delhi,"10,283"
2019,Tata,NEXON,"54,503",Petrol,1st,"6,82,000₹7,60,000",,"13,333"
2021,Tata,Harrier,"88,980",Diesel,1st,"15,40,300₹16,72,000",,"29,318"
2022,Tata,PUNCH,"16,131",Petrol,1st,"7,72,000₹7,94,000",,"15,093"
2021,Tata,NEXON,"21,169",Petrol,1st,"10,46,000₹11,00,000",New Delhi,"19,910"
2022,Tata,Tiago,"36,971",CNG,1st,"7,03,000₹7,58,000",,"13,744"
2019,Tata,TIGOR,"29,052",Petrol,1st,"5,38,000₹6,00,000",,"10,518"
2020,Tata,ALTROZ,"23,753",Petrol,1st,"6,51,000₹8,13,000",New Delhi,"12,727"
2017,Renault,Kwid,"67,522",Petrol,3rd,"2,45,000₹2,59,000",New Delhi,"4,790"
2021,Renault,Kiger,"45,459",Petrol,1st,"6,87,000₹8,32,000",New Delhi,"13,431"
2019,Renault,Kwid,"49,668",Petrol,1st,"2,81,000₹2,90,000",,"5,494"
2018,Renault,Kwid,"49,450",Petrol,2nd,"2,55,000",,"4,985"
2019,Renault,Kwid,"9,550",Petrol,1st,"3,31,000₹3,92,000",New Delhi,"6,471"
2021,Renault,Kwid,"11,812",Petrol,1st,"4,15,000₹4,56,000",New Delhi,"8,113"
2017,Renault,Kwid,"33,095",Petrol,2nd,"2,47,000₹2,52,000",,"4,829"
2018,Renault,Duster,"73,676",Diesel,1st,"5,79,000₹6,59,000",,"11,320"
2021,Renault,TRIBER,"36,758",Petrol,1st,"5,58,000₹5,69,000",,"10,909"
2019,Renault,TRIBER,"1,02,395",Petrol,1st,"4,83,000₹5,22,000",,"9,443"
2020,Renault,Kwid,"26,640",Petrol,1st,"3,64,000₹4,65,000",New Delhi,"7,116"
2018,Renault,Kwid,"65,927",Petrol,1st,"2,99,000₹3,16,000",,"5,846"
2019,Renault,TRIBER,"20,260",Petrol,2nd,"5,46,000₹5,57,000",,"10,674"
2019,Renault,TRIBER,"24,777",Petrol,1st,"5,40,000₹5,84,000",,"10,557"
2019,Renault,TRIBER,"57,406",Petrol,1st,"4,98,000₹5,35,000",,"9,736"
2019,Renault,TRIBER,"23,317",Petrol,1st,"5,42,000₹5,86,000",,"10,596"
2019,Renault,Duster,"35,331",Diesel,1st,"9,89,000₹10,27,000",,"18,825"
2022,Renault,TRIBER,"13,915",Petrol,2nd,"7,01,000₹7,47,000",New Delhi,"13,705"
2019,Renault,TRIBER,"41,387",Petrol,2nd,"5,62,000₹5,83,000",,"10,987"
2017,Renault,Kwid,"22,822",Petrol,1st,"2,77,000₹2,93,000",,"5,415"
2011,Maruti,Swift,"82,202",Petrol,3rd,"2,84,000₹3,13,000",Pune,"5,552"
2014,Maruti,Celerio,"64,335",Petrol,1st,"3,30,000",Pune,"6,452"
2017,Maruti,Alto 800,"48,009",CNG,2nd,"3,46,000₹3,70,000",Pune,"6,764"
2015,Maruti,Wagon R 1.0,"11,546",Petrol,1st,"3,11,000₹3,46,000",Pune,"6,080"
2019,Maruti,New Wagon-R,"39,449",CNG,2nd,"5,38,000₹5,84,000",Pune,"10,518"
2010,Maruti,Ritz,"1,08,345",Petrol,2nd,"1,83,000₹1,95,000",Pune,"3,578"
2013,Maruti,Alto 800,"31,314",Petrol,1st,"2,01,000₹2,13,000",Pune,"3,930"
2016,Maruti,Wagon R 1.0,"77,414",CNG,2nd,"3,33,000₹3,68,000",Pune,"6,510"
2020,Maruti,S PRESSO,"27,892",CNG,1st,"5,21,000₹5,56,000",Pune,"10,186"
2012,Maruti,Swift,"99,479",Diesel,1st,"4,30,000₹4,55,000",Pune,"8,407"
2012,Maruti,Swift,"66,853",Diesel,1st,"3,85,000",Pune,"7,527"
2014,Maruti,Swift,"37,411",Petrol,3rd,"4,52,000₹4,86,000",Pune,"8,837"
2012,Maruti,Swift Dzire,"65,502",Petrol,2nd,"3,34,000₹3,50,000",Pune,"6,530"
2015,Maruti,Swift,"65,291",Petrol,1st,"4,54,000₹4,85,000",Pune,"8,876"
2016,Maruti,Wagon R 1.0,"61,981",Petrol,2nd,"3,84,000₹4,38,000",Pune,"7,507"
2017,Maruti,Swift,"48,030",Petrol,2nd,"4,67,000₹5,02,000",Pune,"9,130"
2014,Maruti,Wagon R 1.0,"77,267",Petrol,1st,"2,84,000₹3,17,000",Pune,"5,552"
2012,Maruti,Alto 800,"63,748",Petrol,2nd,"1,93,000₹2,13,000",Pune,"3,773"
2012,Maruti,Wagon R 1.0,"1,21,602",CNG,1st,"2,81,000₹3,37,000",Pune,"5,494"
2014,Maruti,Wagon R 1.0,"67,238",CNG,1st,"3,20,000₹3,50,000",Pune,"6,256"
2013,Honda,City,"67,024",CNG,3rd,"3,80,000₹3,98,000",Pune,"7,429"
2014,Honda,Amaze,"68,710",Petrol,2nd,"3,38,000₹3,70,000",Pune,"6,608"
2021,Honda,Amaze,"29,900",Petrol,2nd,"7,47,000₹7,89,000",Pune,"14,604"
2015,Honda,City,"29,488",Petrol,1st,"7,49,000₹7,93,000",Pune,"14,643"
2014,Honda,City,"69,542",Petrol,3rd,"4,28,000₹4,78,000",Pune,"8,367"
2015,Honda,Amaze,"58,133",Petrol,1st,"4,42,000₹4,88,000",Pune,"8,641"
2019,Honda,Amaze,"39,633",Petrol,1st,"5,99,000₹6,48,000",Pune,"11,711"
2019,Honda,Civic,"95,065",Diesel,2nd,"12,77,000₹13,72,000",Pune,"24,307"
2015,Honda,City,"89,766",Petrol,1st,"5,87,000₹6,04,000",Pune,"11,476"
2016,Honda,City,"55,353",Petrol,2nd,"5,32,000₹6,50,000",Pune,"10,401"
2017,Honda,Amaze,"52,380",Petrol,1st,"4,87,000₹5,28,000",Pune,"9,521"
2013,Honda,Brio,"39,803",Petrol,1st,"2,80,000₹3,14,000",Pune,"5,474"
2014,Honda,City,"79,081",CNG,3rd,"5,24,000₹5,67,000",Pune,"10,244"
2019,Honda,Civic,"40,972",Petrol,1st,"17,39,000₹19,36,000",Pune,"33,100"
2015,Honda,City,"77,141",Petrol,2nd,"6,58,000₹6,98,000",Pune,"12,864"
2017,Honda,BR-V,"49,815",Petrol,3rd,"7,31,000₹7,90,000",Pune,"14,291"
2016,Honda,Brio,"34,456",Petrol,1st,"3,54,000₹4,47,000",Pune,"6,921"
2016,Honda,Jazz,"56,621",Petrol,1st,"4,84,000₹5,72,000",Pune,"9,462"
2012,Honda,Brio,"60,270",Petrol,2nd,"2,44,000₹2,93,000",Pune,"4,770"
2020,Honda,City,"18,115",Petrol,2nd,"10,90,000₹13,02,000",Pune,"20,747"
2014,Hyundai,Eon,"29,202",Petrol,2nd,"2,25,000₹2,41,000",Pune,"4,399"
2010,Hyundai,i10,"42,872",Petrol,2nd,"1,71,000₹1,87,000",Pune,"3,343"
2015,Hyundai,Creta,"45,212",Petrol,1st,"7,85,000₹8,73,000",Pune,"15,347"
2015,Hyundai,Creta,"55,494",Petrol,1st,"7,84,000₹8,58,000",Pune,"15,327"
2015,Hyundai,Elite i20,"43,241",Petrol,3rd,"4,49,000₹5,39,000",Pune,"8,778"
2017,Hyundai,Elite i20,0,Petrol,1st,"5,52,000₹6,23,000",Pune,"10,792"
2011,Hyundai,Eon,"66,145",Petrol,3rd,"1,84,000₹1,99,000",Pune,"3,597"
2012,Hyundai,i20,"62,544",Petrol,2nd,"3,38,000₹3,67,000",Pune,"6,608"
2013,Hyundai,i10,"53,812",Petrol,3rd,"2,94,000₹3,48,000",Pune,"5,748"
2014,Hyundai,Grand i10,"1,18,402",Petrol,2nd,"3,32,000₹3,58,000",Pune,"6,491"
2014,Hyundai,Elite i20,"97,687",Diesel,1st,"5,75,000₹6,03,000",Pune,"11,241"
2019,Hyundai,Creta,"93,842",Diesel,3rd,"11,86,000₹12,33,000",Pune,"22,574"
2016,Hyundai,Creta,"55,516",Petrol,1st,"9,54,000₹9,83,000",Pune,"18,159"
2018,Hyundai,Grand i10,"11,334",Petrol,1st,"4,36,000₹4,66,000",Pune,"8,524"
2012,Hyundai,Verna,"1,00,448",CNG,1st,"4,41,000₹4,68,000",Pune,"8,622"
2016,Hyundai,Verna,"1,13,077",Petrol,1st,"6,53,000",Pune,"12,766"
2018,Hyundai,Eon,"24,161",Petrol,1st,"3,08,000₹3,43,000",Pune,"6,021"
2013,Hyundai,i20,"97,279",CNG,2nd,"3,88,000₹3,99,000",Pune,"7,585"
2014,Hyundai,Grand i10,"22,832",Petrol,1st,"4,59,000₹5,42,000",Pune,"8,974"
2011,Hyundai,i10,"74,895",Petrol,2nd,"2,16,000₹2,44,000",Pune,"4,223"
2017,Tata,Tiago,"61,157",Petrol,1st,"4,20,000₹4,92,000",Pune,"8,211"
2014,Tata,Zest,"60,667",Petrol,3rd,"3,22,000₹3,47,000",Pune,"6,295"
2020,Tata,ALTROZ,"54,725",Petrol,1st,"7,10,000₹7,52,000",Pune,"13,881"
2018,Tata,Tiago,"60,741",Diesel,2nd,"4,41,000₹4,58,000",Pune,"8,622"
2019,Tata,TIAGO NRG,"84,204",Petrol,1st,"4,52,000₹5,20,000",Pune,"8,837"
2021,Tata,ALTROZ,"51,956",Diesel,1st,"8,72,000",Pune,"16,598"
2018,Tata,NEXON,"99,471",Diesel,1st,"7,52,000₹7,96,000",Pune,"14,702"
2021,Tata,ALTROZ,"10,093",Petrol,1st,"7,25,000₹8,02,000",Pune,"14,174"
2018,Tata,Tiago,"64,795",Petrol,1st,"4,61,000₹4,96,000",Pune,"9,013"
2017,Tata,TIGOR,"1,15,136",Petrol,2nd,"4,76,000₹5,25,000",Pune,"9,306"
2021,Tata,NEXON,"23,899",Petrol,1st,"8,80,000₹8,95,000",Pune,"16,750"
2018,Tata,Tiago,0,Diesel,1st,"5,24,000₹5,51,000",Pune,"10,244"
2021,Tata,ALTROZ,"22,779",Petrol,1st,"8,11,000₹8,36,000",Pune,"15,437"
2022,Tata,NEXON,"17,424",Diesel,1st,"13,04,000₹13,83,000",Pune,"24,820"
2022,Tata,Tiago,"5,314",CNG,1st,"7,08,000₹7,73,000",Pune,"13,842"
2018,Tata,Tiago,"34,813",Petrol,2nd,"5,15,000₹5,71,000",Pune,"10,068"
2019,Tata,NEXON,"71,259",Diesel,2nd,"8,33,000₹8,58,000",Pune,"15,855"
2022,Tata,Tiago,"38,158",CNG,1st,"7,26,000₹8,28,000",Pune,"14,193"
2018,Tata,Tiago,"27,563",Petrol,1st,"5,29,000₹5,72,000",Pune,"10,342"
2018,Tata,Tiago,"31,440",Petrol,1st,"5,41,000₹5,90,000",Pune,"10,577"
2015,Renault,Kwid,"65,333",Petrol,1st,"2,34,000",Pune,"4,575"
2015,Renault,Kwid,"53,895",Petrol,1st,"2,99,000₹3,05,000",Pune,"5,846"
2014,Renault,Duster,"52,550",Diesel,1st,"5,79,000₹6,76,000",Pune,"11,320"
2012,Renault,Duster,"95,630",Diesel,2nd,"4,24,000₹4,61,000",Pune,"8,289"
2020,Renault,TRIBER,"25,264",Petrol,2nd,"6,09,000₹6,73,000",Pune,"11,906"
2018,Renault,Kwid,"18,512",Petrol,2nd,"3,88,000₹4,24,000",Pune,"7,585"
2016,Renault,Kwid,"16,528",Petrol,2nd,"3,46,000₹3,78,000",Pune,"6,764"
2016,Renault,Kwid,"27,859",Petrol,1st,"3,51,000₹3,94,000",Pune,"6,862"
2021,Renault,Kwid,"4,782",Petrol,1st,"4,66,000₹5,24,000",Pune,"9,110"
2022,Renault,TRIBER,"14,386",Petrol,1st,"6,92,000₹7,72,000",Pune,"13,529"
2022,Renault,Kwid,"4,026",Petrol,1st,"4,78,000₹5,26,000",Pune,"9,345"
2019,Renault,Duster,"12,186",Diesel,2nd,"8,48,000₹8,72,000",Pune,"16,141"
2021,Renault,Kiger,"32,673",Petrol,1st,"8,31,000₹9,27,000",Pune,"15,817"
2013,Renault,Duster,"1,08,170",Diesel,3rd,"4,62,000₹4,80,000",Pune,"9,032"
2020,Renault,Kwid,"46,710",Petrol,1st,"4,62,000₹5,41,000",Pune,"9,032"
2020,Renault,Duster,"30,191",Petrol,1st,"9,22,000₹10,34,000",Pune,"17,549"
2019,Renault,TRIBER,"11,912",Petrol,1st,"7,20,000₹7,63,000",Pune,"14,076"
2022,Renault,TRIBER,"39,317",Petrol,1st,"6,90,000₹7,62,000",Pune,"13,490"
2016,Renault,Duster,"1,04,707",Diesel,1st,"7,24,200₹7,66,000",Pune,"14,158"
2020,Renault,Duster,"15,206",Petrol,1st,"9,61,000₹9,92,000",Pune,"18,292"
